iteration,timestamp,input,bug_type,is_new,exit_code
1,0.000,"'[nul{l, tr[null, tr[null, tr[null, tr[null, tr[null, tr[null, tr[null, tr[null, tr[null, true, false, 0, """", {}]'",INVALIDITY,1,0
2,0.262,"'{""int_max""º 9999999999999999}'",INVALIDITY,1,0
3,0.542,"'{""neg_float"": -1[.23e-10}'",INVALIDITY,1,0
4,0.811,"'{""json"":$""obj""}'",INVALIDITY,1,0
5,1.085,"'{""ke"""": yvalue""}'",INVALIDITY,1,0
6,1.361,'trururu{rururue',INVALIDITY,1,0
7,1.633,"'[null, true, false, 0, ""e, 0, ""e, 0, ""e, 0, """", {}]'",INVALIDITY,1,0
8,1.633,"'{""int_max""º x""º x""º x""º x""º x""º x""º x""º x""º x""º 9999999999999\x00999}'",RELIABILITY,1,-1
9,1.898,'{}}}}}}}}999999999999999999999999}',INVALIDITY,1,0
10,1.898,"'{""int_max""º x""º x""º x""º x""º x""º x""º x""º x""º x""º 9Z999999999999\x00999}'",RELIABILITY,0,-1
11,2.942,'{}}}}}}}}999999999999999999999999}',INVALIDITY,0,0
12,3.466,"'{""int_max""º 99]99999999999999}}}}}}}}}'",INVALIDITY,0,0
13,3.730,"'{""neg_float"": -1.23e-101.23e-101.23e-101.23e-101].23e-101.23e-10}'",INVALIDITY,1,0
14,3.730,'{}}}}}}}}999999999999999999999\x00999}}}',RELIABILITY,0,-1
15,3.992,'tsue',INVALIDITY,0,0
16,4.257,"'{""neg_float"": -1[.23e-10}'",INVALIDITY,0,0
17,4.520,"'\x02hello""'",INVALIDITY,0,0
18,4.785,"'[null, true, false, 0, ""e, 0, ""e, 0, ""e, 0, """",H {}]'",INVALIDITY,0,0
19,5.050,"'[null, true, false, 0,  false, 0,  false, 0,  fa\nlse, 0, """", {}]'",INVALIDITY,1,0
20,5.575,'<00',INVALIDITY,0,0
21,5.838,'%00{}}}',INVALIDITY,0,0
22,6.103,"'{""a"": {""b"">: {""c"": 1}}}}}}}}}}}}}}}'",INVALIDITY,0,0
23,6.368,"'{""emoji_escaped"": ""\\uD83D\\uDE00""0""0""0""/../}'",INVALIDITY,1,0
24,6.632,"'{""a""l nul:}'",INVALIDITY,1,0
25,6.903,"'{""neg_float"": -1.23e-101.23e-101.23e-101101101101101.23e-101].23e-101.23[e-10}'",INVALIDITY,0,0
26,7.185,"'{""unicode"":ÿ ""\\u0041\\u0042\\u004u004u004u004u004u004u004u004u0043""}'",INVALIDITY,1,0
27,7.463,"'{""emoji_escaped"": ""\\uD83D\\uDE0E0E{0E0E0E0E00""}'",INVALIDITY,1,0
28,7.728,'trrrrrr/../ue',INVALIDITY,0,0
29,7.728,"'""line\\n\x00b\\b\\b\\b\\b\\b\\b\\b\\b\\nb\\nbreak""'",RELIABILITY,0,-1
30,7.995,"'{""float"": 1.23e{""float"": 1.23e{""float"": 1.23e{""float"": 1.23e{""float"": 1.23e{""float"": 1.23e<{""float"": 1.23e{""float"": 1.2",INVALIDITY,1,0
31,8.266,'{}{}{}{\\}{}{}{}{}{}{}',INVALIDITY,0,0
32,8.535,"'{""a"": {||""b"": {""c"": 1}}}"": {""b"": {""c"": 1}}}'",INVALIDITY,1,0
33,8.801,'\x10',INVALIDITY,0,0
34,9.071,"'{""a"": {||\\""b"": {""c"": 1}}}"": {""b"": {""a"": {||""b"": {""c"": 1}}}"": {""b"": {""a"": {||""b"": {""c"": 1}}}"": {""b"": {""a"": {||""b"": {""c""",INVALIDITY,0,0
35,9.343,"'{""float"": 1.23e{""float"": 1.23e{""float"": 1.23e{&float"": 1.23e{""float"": 1.23e{""float"": 1.23e<{""float"": 1.23e{""float"": 1.2",INVALIDITY,0,0
36,9.620,"'[null, tru}e, false, 0, ""e, 0, ""e, false, 0, ""e, 0, ""e, false, 0, ""e, 0, ""e, false, 0, ""e, 0, ""e, false, 0, ""e, 0, ""e, ",INVALIDITY,1,0
37,10.159,"'{""emoji_escaped"": ""\\uD83D\\uDE00""0""0""0""/../}'",INVALIDITY,0,0
38,10.421,"'{""emoji_escaped"": \\""\\uD83D\\uDE00""0""0""0""/../../../../../../../../}'",INVALIDITY,1,0
39,10.693,"'{""emoji{_escaped"": ""\\uD83scaped"": ""\\uD83scaped"": ""\\uD83scaped"": ""\\uD83scaped"": ""\\uD83scaped"": ""\\uD83scaped"": ""\\u",INVALIDITY,0,0
40,10.969,"'{""i\\nt_max"": 99999999: 9999999999999999}'",INVALIDITY,1,0
41,11.241,"'{""a"": {||""b"": {""c"": 1}}}"": {""a"": {||""b"": {""c"": 1}}}"": {""a"": {||""b"": {""c"": 1}}}"": {""a"": {||""b"": {""c"": 1}}}"": {""a"": {||""b",INVALIDITY,0,0
42,11.513,"'{""emoji_escaped"": \\""\\uD83D\\uDE00""0""0""0""/../.\\./../../../../../../}}}'",INVALIDITY,0,0
43,11.785,"'[null, tru}e, false, 0, ""e, 0, ""e, false, 0, ""e, 0, ""e, false, 0, ""e, 0,se, 0, ""e, 0, ""e, false, 0, ""e, 0,se, 0, ""e, 0,",INVALIDITY,0,0
44,12.056,'ÿ[[[[]',INVALIDITY,0,0
45,12.328,"'{""json"": ""obj""%00}j""}j""}j""}j""}j""}j""}'",INVALIDITY,0,0
46,12.600,"'{""zero_variants"": [0, -0, 0.iants"": [0, -0, 0.iants"": [0, -0, 0.iants"": >[0, -0, 0.iants"": [0, -0, 0.0, 0e0]}'",INVALIDITY,1,0
47,12.864,"'{""float"": 1.23e{""float"": 1.23e{""float"": \\1.23e{""float"": 1.23e{""float"": 1.23e{""float"": 1.23oat"": 1.23e{""float"": 1.23e{""",INVALIDITY,0,0
48,12.865,"'{""unicode"":ÿ ""\\u0041\\u004\x002\\u004u004u0u004u0u004u0u004u0u004u004u004u004u004u004u004u0043""}'",RELIABILITY,0,-1
49,13.158,'falfal&&falfalfalfalfalfalfalfalse',INVALIDITY,0,0
50,13.429,"'{""emoji_escaped"": \\""\\uD83D\\uDE00""0""0aped"": \\""\\uD83D\\uDE00""0""0""0""/../../.ÿ./../../../../../}'",INVALIDITY,0,0
51,13.700,"'{""zero_v}ariants"": [0, -0, 0.iants"": [0, -0, 0.iants"": [0, -0, 0.iants"": >[0, -0, 0.iants"": [0, -0, 0.0, , 0.iants"": >[",INVALIDITY,1,0
52,13.972,"'{""neg_float"": -1."": -1."": -1."": -1."": -1."": -1."": -1."": -1.23e-10}>'",INVALIDITY,0,0
53,14.254,'nul\rlllllllll',INVALIDITY,0,0
54,14.528,"'{""]emoji_escaped"": \\""\\uD83D\\uDE00""0""0""0""/../../../../../../../../../../../../../../}'",INVALIDITY,1,0
55,14.800,"'{""json"": ""obj""json"": ""obj""json"": ""obj""json"": ""obj""json""%00: ""obj""}'",INVALIDITY,0,0
56,15.065,"'{""a"": {""b"": {""c"": 1{}c"": 1}c"": 1}c"": 1}c"": 1}}}'",INVALIDITY,1,0
57,15.341,"'""[[[[[[[]'",INVALIDITY,1,0
58,15.613,"'[1, 999999999999999999999999, , , 2, 3]'",INVALIDITY,1,0
59,15.883,"'""""""""""""""""""""""""\''",INVALIDITY,0,0
60,16.150,"'{""emoji_escaped"": ""\\uD83<D\\uDE00""0""0""0""/../././././././././}'",INVALIDITY,0,0
61,16.422,"'{""zero_variants"": [0, -0, 0.0, 0e0: [0, -0, 0.0, 0e0: [0, -0, 0.0, 0e0: [0, -0, 0.0, 0e0:"" [0, -0, 0.0, 0e0]}'",INVALIDITY,1,0
62,16.690,"'[null,[ true, false, 0, """", {}{}{}{}{}{}{}{}{}]'",INVALIDITY,1,0
63,16.966,"""['111, 2, 3]""",INVALIDITY,0,0
