iteration,timestamp,input,bug_type,is_new,exit_code
1,0.000,'iVHy&&qBPQKSfcVfzigLtTexOaANFfSHsZjxTnEuOeJypnLWIDioMnzrEadMpRqjUhPecDuNbVM',INVALIDITY,1,1
2,0.000,'R\x00XEom',RELIABILITY,1,-1
3,1.500,'MBoICDyIwyMoAlLgBIOkhTtuGFdwtIziXgTQaFtTAPrbyyFQiEnMjWKbSmQaFtTAPrbyyFQiEnMjWKbSmQaFtTAPrbyyFQiEnMjWKbSmQaFtTAPrbyyFQiE,INVALIDITY,1,0
4,1.844,'iVHy&&qBPQKSfcVfzigLtTexOaANFfSHsZjxTnEuOeJypnLWKDioMnzrEadMpRqjUhPecDuNbVM',INVALIDITY,0,0
5,3.297,'iVHy&&qBPQKSfcVfzigLtTexOaANFfSHsZjxTnEuOeJypnLWIDioMnzrEadMpRqjUhPecDuNb\\VM',INVALIDITY,0,0
6,3.641,'EudWSZopSmIKatNnwzpdarwdfVkHzElfMeVGhacngCQwrHKcVPUhSL',INVALIDITY,0,0
7,4.985,'MBoICDyIwyMoAlLgBIOkhTtuGFdwtIziXgTQaFtTAPrbyyFQiEnMjWKbSmQaFtTAPrbyyFQiEnMjWKbSmQaFtTAPrbyyFQiEnMjWKbSmQaFtTAPr[byyFQi,INVALIDITY,0,0
8,5.297,"'{""GvcHpLrHpauz"": ""True"", ""SOKNjAS\\d"": ""[\'OHNFFvtZFkWdUMLaRTvxfGGYMFqVxjiiHFTbtgeNDNaMEitrkZi\', \'55\', \'True\', \'T",INVALIDITY,1,0
9,6.891,"'{""iUijWeAeEscdUSF"": ""abaJNKeZbqhHvtyDmjyTWmQUPsGAfTjHNFVyaFwGCAwbtQUeLRryygNfFjnywhdVZWUaVRtOoYnaessygloZbdGXdeny"", ""rl",INVALIDITY,1,0
10,8.688,'dEfKJoxeRLTkBFLDwXaPcnrYyisPULdFZrhUZt}NOAbMbxkpaNpGpmgEnmGeXRfeUlxhGOu',INVALIDITY,0,0
11,10.157,"'{""iUijWe\rAeEscdUSF"": ""abaJNKeZbqhHvtyDmjyTWmQUPsGAfTjHNFVyaFwGCAwbtQUeLRryygNfFjnywhdVZWUaVRtOoYnaessygloZbdGXdeny"", """,INVALIDITY,1,0
12,10.469,'MBoICDyIwyMoAlLgBIOkhTtuGFdwtI\nziXgTQaFtTAPrbyyFQiEnMjWKbSmgor',INVALIDITY,0,0
13,11.750,'iVHy&&qBPQKSfcVfzigLtTexOaANFfqHsZjxTnEuOeJypnLWIDioMnzrEadMpRSjUhPecDuNbVM',INVALIDITY,0,0
14,12.016,'RXEom%00',INVALIDITY,0,0
15,13.360,"'{""iUijWe\rAeEscdUSF"": ""abaJNKeZbqhHvtyDmjyTWmQUPsGAfTjHNFVyaFwGCAwbtQUeLRryygNfFjnywhdVZWUaVRtOoYnaessygloZbdGXdeny"", """,INVALIDITY,0,0
