timestamp,run_id,statement_coverage,branch_coverage,function_coverage,total_inputs,coverage_source
2026-04-05 23:50:55,20260405_234959,4.0,4.0,4.0,6,proxy
2026-04-05 23:57:01,20260405_235701,2.0,2.0,2.0,1,proxy
2026-04-05 23:57:13,20260405_235701,2.0,2.0,2.0,2,proxy
2026-04-05 23:57:24,20260405_235701,2.0,2.0,2.0,3,proxy
2026-04-05 23:57:24,20260405_235701,4.0,4.0,4.0,4,proxy
2026-04-05 23:57:35,20260405_235701,4.0,4.0,4.0,5,proxy
2026-04-05 23:57:46,20260405_235701,4.0,4.0,4.0,6,proxy
2026-04-05 23:57:57,20260405_235701,4.0,4.0,4.0,7,proxy
2026-04-06 14:13:27,20260406_141327,2.0,2.0,2.0,1,proxy
2026-04-06 14:14:24,20260406_141327,4.0,4.0,4.0,2,proxy
2026-04-06 14:17:04,20260406_141704,2.0,2.0,2.0,1,proxy
2026-04-06 14:18:01,20260406_141704,4.0,4.0,4.0,2,proxy
2026-04-06 14:18:24,20260406_141704,6.0,6.0,6.0,3,proxy
2026-04-06 14:18:47,20260406_141704,8.0,8.0,8.0,4,proxy
2026-04-08 17:06:01,20260408_170601,1.0,1.0,1.0,1,proxy
2026-04-08 17:06:16,20260408_170601,2.0,2.0,2.0,2,proxy
2026-04-08 17:06:29,20260408_170601,3.0,3.0,3.0,3,proxy
2026-04-08 17:08:14,20260408_170601,4.0,4.0,4.0,4,proxy
2026-04-08 17:08:27,20260408_170601,5.0,5.0,5.0,5,proxy
2026-04-08 17:08:39,20260408_170601,5.0,5.0,5.0,6,proxy
2026-04-08 17:30:09,20260408_173009,2.0,2.0,2.0,1,proxy
2026-04-08 17:53:34,20260408_175334,2.0,2.0,2.0,1,proxy
2026-04-08 18:30:26,20260408_183026,2.0,2.0,2.0,1,proxy
2026-04-08 18:30:38,20260408_183026,4.0,4.0,4.0,2,proxy
2026-04-08 18:30:53,20260408_183026,6.0,6.0,6.0,3,proxy
2026-04-08 18:31:05,20260408_183026,8.0,8.0,8.0,4,proxy
2026-04-08 18:31:18,20260408_183026,10.0,10.0,10.0,5,proxy
2026-04-08 18:31:31,20260408_183026,12.0,12.0,12.0,6,proxy
2026-04-08 18:31:43,20260408_183026,14.0,14.0,14.0,7,proxy
2026-04-08 18:31:56,20260408_183026,16.0,16.0,16.0,8,proxy
2026-04-08 18:49:19,20260408_184919,2.0,2.0,2.0,1,proxy
2026-04-08 18:49:31,20260408_184919,4.0,4.0,4.0,2,proxy
2026-04-08 18:50:11,20260408_184919,6.0,6.0,6.0,3,proxy
2026-04-08 18:50:23,20260408_184919,6.0,6.0,6.0,4,proxy
2026-04-08 18:50:41,20260408_184919,8.0,8.0,8.0,5,proxy
2026-04-08 18:50:57,20260408_184919,10.0,10.0,10.0,6,proxy
2026-04-08 18:51:12,20260408_184919,10.0,10.0,10.0,7,proxy
2026-04-08 19:02:37,20260408_190237,1.0,1.0,1.0,1,proxy
2026-04-08 19:02:49,20260408_190237,2.0,2.0,2.0,2,proxy
2026-04-08 19:03:33,20260408_190237,3.0,3.0,3.0,3,proxy
2026-04-08 19:03:44,20260408_190237,4.0,4.0,4.0,4,proxy
2026-04-08 19:03:57,20260408_190237,5.0,5.0,5.0,5,proxy
2026-04-08 19:04:09,20260408_190237,6.0,6.0,6.0,6,proxy
2026-04-08 19:04:22,20260408_190237,7.0,7.0,7.0,7,proxy
2026-04-08 19:26:22,20260408_192622,1.0,1.0,1.0,1,proxy
2026-04-08 19:26:36,20260408_192622,2.0,2.0,2.0,2,proxy
2026-04-08 19:26:49,20260408_192622,3.0,3.0,3.0,3,proxy
2026-04-08 19:27:01,20260408_192622,4.0,4.0,4.0,4,proxy
2026-04-08 19:27:40,20260408_192622,5.0,5.0,5.0,5,proxy
2026-04-08 19:28:18,20260408_192818,1.0,1.0,1.0,1,proxy
2026-04-08 19:28:35,20260408_192818,2.0,2.0,2.0,2,proxy
2026-04-08 19:28:48,20260408_192818,3.0,3.0,3.0,3,proxy
2026-04-08 19:29:01,20260408_192818,4.0,4.0,4.0,4,proxy
