iteration,elapsed_s,runs_total,bugs_unique,corpus_size,runs_per_sec
50,3.2,50,1,0,15.84
100,9.4,100,1,0,10.68
150,16.3,150,1,0,9.19
200,21.6,200,1,0,9.25
250,29.2,250,1,0,8.55
