iteration,timestamp,input,bug_type,is_new,exit_code
1,0.000,'95.184.29.57/\x002',RELIABILITY,1,-1
2,0.032,'95.184.29.57/\x002',RELIABILITY,0,-1
3,0.063,'95.184.29.57/\x002',RELIABILITY,0,-1
4,0.078,'95.184.29.57/\x00229.57/\x00229.57/\x00229.57/\x00229.57/\x00229.57/\x00229.57/\x00229.57/\x00229.57/\x00229.57/\x002',RELIABILITY,0,-1
5,0.094,'95.18||4.29.57/\x002',RELIABILITY,0,-1
6,0.125,'95.184.2ÿ9.57/\x002',RELIABILITY,0,-1
7,0.141,'94.185.29.57/\x002',RELIABILITY,0,-1
8,0.203,'95.184.29.57/\x002',RELIABILITY,0,-1
9,0.203,'\x00192.0.2.[5678]',RELIABILITY,0,-1
10,0.235,'95.184.29.57/\x002',RELIABILITY,0,-1
11,0.282,'95.184.29.\r57/\x002',RELIABILITY,0,-1
12,0.313,'192.0.2.[\x005678]',RELIABILITY,0,-1
13,0.344,'%0095.184.29.57/\x002',RELIABILITY,0,-1
14,0.422,'95.184.29ÿ.57/\x002',RELIABILITY,0,-1
15,0.453,'3.54\x00.164.197/25',RELIABILITY,0,-1
16,0.485,'129.\x00246.77.59/23',RELIABILITY,0,-1
17,0.516,'95.184.2>9.57/\x002',RELIABILITY,0,-1
18,0.547,'95.184.29.57/\x009.57/\x009.57/\x009.57/\x009.57/\x009.57/\x009.57/\x009.57/\x009.57/\x009.57/\x002',RELIABILITY,0,-1
19,0.563,'95.184.29.57/\x002',RELIABILITY,0,-1
20,0.578,'171.21\x001.137.201/27',RELIABILITY,0,-1
21,0.594,'95.184.29.57/\x002\\',RELIABILITY,0,-1
22,0.625,'192.0.2\x00.8[0-5]',RELIABILITY,0,-1
23,0.625,'1\x0051.156.238.150/16',RELIABILITY,0,-1
24,0.641,'25.184.29.57/\x009',RELIABILITY,0,-1
25,0.657,'95.184.29.57/\x002',RELIABILITY,0,-1
26,0.688,'95.184.29.57/\x00257/\x002',RELIABILITY,0,-1
27,0.735,'95.184.29.57/\x002}',RELIABILITY,0,-1
28,0.735,'19\x002.0.2.18',RELIABILITY,0,-1
29,0.891,'33.135.219.116/16\x00',RELIABILITY,0,-1
30,0.907,'91.61.249\x00.84/12',RELIABILITY,0,-1
31,0.907,'95.148.29.57/\x002',RELIABILITY,0,-1
32,0.953,'95./84.29.571\x002',RELIABILITY,0,-1
33,1.047,'95.184.29.57/\x002',RELIABILITY,0,-1
34,1.047,'\x0021.64.208.155/31',RELIABILITY,0,-1
35,1.219,'95.184.29.57¯\x002',RELIABILITY,0,-1
36,1.219,'192.0.2.80-1\x0092.0.2.85',RELIABILITY,0,-1
37,1.235,'95.184.29.5.5.5.5.5.5.5.57/\x002',RELIABILITY,0,-1
38,1.313,"'""95.184.29.57/\x002'",RELIABILITY,0,-1
39,1.344,'/5.184.29.579\x002',RELIABILITY,0,-1
40,1.360,'192.0.\x0020.64/26',RELIABILITY,0,-1
41,1.375,'95.184.29\\.57/\x002',RELIABILITY,0,-1
42,1.407,'95.184.}29.57/\x002',RELIABILITY,0,-1
43,1.594,'95.184.29.57/\x007/\x007/\x007/\x007/\x007/\x007/\x002',RELIABILITY,0,-1
44,1.610,'95.184.29.57/\x002\x00',RELIABILITY,0,-1
45,1.657,'97.173.198.21\x001/29',RELIABILITY,0,-1
46,1.688,'12.43.123\x00.253/30',RELIABILITY,0,-1
47,1.875,'95.184.29.57/\x00/\x002',RELIABILITY,0,-1
48,1.907,'95.184.29.52/\x007',RELIABILITY,0,-1
49,2.078,'95.184(.29.57/\x002',RELIABILITY,0,-1
50,2.094,'43.42.55.89\x00/11',RELIABILITY,0,-1
51,2.125,'95.184.29.57/\x002',RELIABILITY,0,-1
52,2.157,'95.184.29.||57/\x002',RELIABILITY,0,-1
53,2.157,'95.184.29.57/\x002',RELIABILITY,0,-1
54,2.235,'95.184.29.57/\x002}',RELIABILITY,0,-1
55,2.235,'91\x00.61.249.84/12',RELIABILITY,0,-1
56,2.250,'246.241.40.1\x0017/11',RELIABILITY,0,-1
57,2.282,'209.118.2\x0019.6/26',RELIABILITY,0,-1
58,2.297,'95.184.29\x0e57/\x002',RELIABILITY,0,-1
59,2.328,'95.184.29.57/\x002',RELIABILITY,0,-1
60,2.328,'95.184.29.574.29.57/\x002',RELIABILITY,0,-1
61,2.344,';5.184.29.57/\x002',RELIABILITY,0,-1
62,2.344,'21.64.208.1\x0055/31',RELIABILITY,0,-1
63,2.453,'0.111.205.7/\x001',RELIABILITY,0,-1
64,2.453,'\x005.184.29.57/92',RELIABILITY,0,-1
65,2.578,'95.184.29.57/\x00295.184.29.57/\x00295.184.29.57/\x00295.184.29.57/\x00295.184.29.57/\x00295.184.29.57/\x00295.184.29.5,RELIABILITY,0,-1
66,2.641,'127.234\x00.32.210/11',RELIABILITY,0,-1
67,2.844,'95.184.29.57/\x002\x002\x002',RELIABILITY,0,-1
68,2.860,'95.184.29.57/\x002',RELIABILITY,0,-1
69,2.875,'95.184.2}9.57/\x002',RELIABILITY,0,-1
70,2.875,'19\x002.0.2.18',RELIABILITY,0,-1
71,2.938,'192.0.20\x00.64/26',RELIABILITY,0,-1
72,2.953,'95.184.²9.57/\x002',RELIABILITY,0,-1
73,3.016,'97.173.198.21\x001/29',RELIABILITY,0,-1
74,3.157,'\x0060.180.179.48/0',RELIABILITY,0,-1
75,3.266,'212.245\x00.120.38/11',RELIABILITY,0,-1
76,3.485,"'95.184.29.57/""\x002'",RELIABILITY,0,-1
77,3.516,'95.184.29.57/\x002.57/\x002.57/\x002',RELIABILITY,0,-1
78,3.578,'95.18J4.29.57/\x002',RELIABILITY,0,-1
79,4.047,'91.161.\x00114.197/31',RELIABILITY,0,-1
80,4.063,'95.184.29.57/\x002',RELIABILITY,0,-1
81,4.110,'4\x003.42.55.89/11',RELIABILITY,0,-1
82,4.157,'95.184.29.55555555557/\x002',RELIABILITY,0,-1
83,4.391,'95.104.29.57/\x002',RELIABILITY,0,-1
84,4.547,'129.24\x006.77.59/23',RELIABILITY,0,-1
85,4.610,'153.16.235.6\x001/3',RELIABILITY,0,-1
86,4.672,'209.118.219.\x006/26',RELIABILITY,0,-1
87,4.703,'95.184.29.57/\x002',RELIABILITY,0,-1
88,4.735,'36.102.186.74/2\x00',RELIABILITY,0,-1
89,4.750,'12.4\x003.123.253/30',RELIABILITY,0,-1
90,4.844,'91.161.114.197/31\x00',RELIABILITY,0,-1
91,4.875,'12.43.123.253\x00/30',RELIABILITY,0,-1
92,4.891,'127.234.32.2\x0010/11',RELIABILITY,0,-1
93,4.891,'60.180.179.48/\x000',RELIABILITY,0,-1
94,4.985,'95.184.29.57\x00/2',RELIABILITY,0,-1
95,5.016,'/5.184.29.579\x002',RELIABILITY,0,-1
96,5.407,'95.184.29.57//////////\x002',RELIABILITY,0,-1
97,5.407,'151.\x00156.238.150/16',RELIABILITY,0,-1
98,5.532,'97.173.19\x008.211/29',RELIABILITY,0,-1
99,5.547,'95.184.\x129.57/\x002',RELIABILITY,0,-1
100,5.766,'91.61.249.84/1\x002',RELIABILITY,0,-1
101,5.844,'91.161.114.197/3\x001',RELIABILITY,0,-1
102,5.969,'127.234.\x0032.210/11',RELIABILITY,0,-1
103,6.000,'95.184.29\x00.57/2',RELIABILITY,0,-1
104,6.000,'219.94.\x00246.114/5',RELIABILITY,0,-1
105,6.063,'y5.184.29.57/\x002',RELIABILITY,0,-1
106,6.141,'97.173.198.211/2\x009',RELIABILITY,0,-1
107,6.203,'153.16.23\x005.61/3',RELIABILITY,0,-1
108,6.282,'0.111\x00.205.7/1',RELIABILITY,0,-1
109,6.313,'95\x00.184.29.57/2',RELIABILITY,0,-1
110,6.407,'156.219.77.60\x00/26',RELIABILITY,0,-1
111,6.438,'192.0.\x002.8[0-5]',RELIABILITY,0,-1
112,6.578,'60.180.179.\x0048/0',RELIABILITY,0,-1
113,6.594,'3.\x0054.164.197/25',RELIABILITY,0,-1
114,6.672,'113.252.52.171/2\x009',RELIABILITY,0,-1
115,6.688,'ÿ95.184.29.57/\x002',RELIABILITY,0,-1
116,6.735,'95.184.29.5777777/\x002',RELIABILITY,0,-1
117,6.813,'95.184.29.57/\x002',RELIABILITY,0,-1
118,7.000,'246\x00.241.40.117/11',RELIABILITY,0,-1
119,7.219,'\x0060.180.179.48/0',RELIABILITY,0,-1
120,7.313,'\x00151.156.238.150/16',RELIABILITY,0,-1
121,7.391,'1\x0013.252.52.171/29',RELIABILITY,0,-1
122,7.516,'91.161.114\x00.197/31',RELIABILITY,0,-1
123,7.594,'192.0.2.80-19\x002.0.2.85',RELIABILITY,0,-1
124,7.610,'219.94.2\x0046.114/5',RELIABILITY,0,-1
125,7.782,'95.184.{29.57/\x002',RELIABILITY,0,-1
126,7.797,'95.184.29.57/\x002',RELIABILITY,0,-1
127,7.860,'171.211.137.201/\x0027',RELIABILITY,0,-1
128,7.953,'121.12\x000.105.124/23',RELIABILITY,0,-1
129,7.985,'127.234.32\x00.210/11',RELIABILITY,0,-1
130,8.188,"""9'5.184.29.57/\x002""",RELIABILITY,0,-1
131,8.344,'19\x002.0.20.64/26',RELIABILITY,0,-1
132,8.422,'1\x0092.0.2.80-192.0.2.85',RELIABILITY,0,-1
133,8.438,'95.184H.29.57/\x002',RELIABILITY,0,-1
134,8.657,'95.1\x0084.29.57/2',RELIABILITY,0,-1
135,8.688,'60.180.17\x009.48/0',RELIABILITY,0,-1
136,8.828,'43.42.55.\x0089/11',RELIABILITY,0,-1
