iteration,elapsed_s,runs_total,bugs_unique,corpus_size,runs_per_sec
50,2.2,50,1,0,23.02
100,5.2,100,1,0,19.11
150,10.1,150,1,0,14.81
200,15.6,200,1,0,12.85
250,20.7,250,1,0,12.08
300,26.2,300,1,0,11.45
