iteration,elapsed_s,runs_total,bugs_unique,corpus_size,runs_per_sec
50,2.8,50,1,0,17.98
100,8.5,100,1,0,11.76
150,15.9,150,1,0,9.44
200,20.8,200,1,0,9.60
250,28.0,250,1,0,8.92
