iteration,elapsed_s,runs_total,bugs_unique,corpus_size,runs_per_sec
50,1.6,50,1,0,30.49
100,7.3,100,1,0,13.68
150,17.1,150,1,0,8.78
200,24.2,200,1,0,8.27
250,29.3,250,1,0,8.52
