iteration,elapsed_s,runs_total,bugs_unique,corpus_size,runs_per_sec
50,2.0,50,1,0,25.20
100,5.2,100,1,0,19.05
150,10.9,150,1,0,13.71
200,15.4,200,1,0,12.96
250,21.4,250,1,0,11.68
300,25.6,300,1,0,11.74
