iteration,elapsed_s,runs_total,bugs_unique,corpus_size,runs_per_sec
50,45.2,50,13,0,1.11
100,61.6,100,35,0,1.62
150,76.0,150,53,0,1.97
200,88.8,200,63,0,2.25
250,104.6,250,74,0,2.39
