iteration,timestamp,input,bug_type,is_new,exit_code
1,0.000,"""{'JpQx': True, 'VOqEt': True} True} True} True} True}""",INVALIDITY,1,0
2,0.819,"""{'SYLUabgaQk': ['8', """,INVALIDITY,0,0
3,1.081,"'{""a"": nullH}'",INVALIDITY,0,0
4,1.603,"""{'luE': False, 'cWOEnczT': '10,8', 'CKyj}GeF': '97', 'pvMmpdogDR': ['2', '10', '3'], 'iSNqdcw': '??'}'??'}'??'}'??'}'??",INVALIDITY,0,0
5,1.867,"""[1, 2, '     3]""",INVALIDITY,0,0
6,2.451,"""{'vgpRrbNuEp': ['0', '8', '8'], 'SRqF': '9,1',, '8'], 'SRqF': '9,1',, '8'], 'SRqF': '9,1',, '8'], 'SRqF': '9,1',, '8'],",INVALIDITY,0,0
7,2.782,"""{'RcuLA': '949', 'KEiiYBiäN': '??', 'bKFQFpV': '1987', 'sIEj': ['9', '6']}""",INVALIDITY,0,0
8,3.093,"""faaaaaaaaaalse'""",INVALIDITY,0,0
9,3.376,"""{'xqhFFg': '0,10', 'ijbJ': False, 'RBj': '', 'NZZtn': '', 'QJZxYddZxYddZxYddZxYddZxYddZxYddZxYddZxYdd': True}""",INVALIDITY,0,0
10,3.643,"'{""a"": true, ""b"": famse}'",INVALIDITY,0,0
11,4.185,'falalalalalalalalalse',INVALIDITY,0,0
12,4.466,"""{'MSZNDoox': False, 'cLRbzEVWO': '1503'}""",INVALIDITY,0,0
13,4.729,"""{'SYLUabgaQk': ['8',': ['8',': ['8',': ['8'>,': ['8',': ['8',': ['8', '9', '0']}""",INVALIDITY,0,0
14,4.996,"""{'ytOK': 'DJ', 'xNjP': '289', 'QArEMgbt': 'bSo', 'Cfh': '1400'}""",INVALIDITY,0,0
15,5.259,"""{'nPockY': '1465', 'FQwRGXjWxg': RGXjWxg': RGXjWxg': RGXjWxg': RGXjWxg': RGXjWxg': RGXjWxg': RGXjWxg': '1409'}""",INVALIDITY,0,0
16,5.526,"""{'CFuozEOGYz': True, 'gyCPFnEj': '432'}""",INVALIDITY,0,0
17,5.792,"'{""float""{""float""{""float""{""float""{""float""{""float""{""float"": 1.23e10}'",INVALIDITY,0,0
18,6.054,"'{""a"": [1, {'",INVALIDITY,0,0
19,6.316,"""{'akVdgqis': True,''PfiVoglEC': '??', 'jiTDKNt': ['1', '6', '9', '3'], 'bWYTaktQB : ['7', '7', '5', '10']}""",INVALIDITY,0,0
20,6.576,'1>1',INVALIDITY,0,0
21,6.840,"'""hel'",INVALIDITY,0,0
22,7.102,"'{""a"": [1, {""b"": 2}b"": 2}]b"": 2}b"": 2}b"": 2}b"": 2}b"": 2}b"": 2}b"": 2}]}'",INVALIDITY,0,0
23,7.367,"""{'JpQx'\x1a True, 'VOqEt': True} True} True} True} True}""",INVALIDITY,0,0
24,7.642,'[[[[]',INVALIDITY,0,0
25,7.942,"""{'ytOK': 'DJ', 'xNjP': '289', 'QArÿEMgbt': 'bSo', 'Cfh': '1400'''''''''}""",INVALIDITY,0,0
26,8.210,"""{'eHO>T': '1597', 'kVf': False}""",INVALIDITY,0,0
27,8.474,"'{""a"": {""b"": {""c"": 1}}{}'",INVALIDITY,0,0
28,8.737,"""{'akVdgqis': True, 'PfiVoglEC': '??', 'jiTDKNt': ['1', '67, '9', '3'], 'bWYTaktQB': ['7', '7', '5', '10']}""",INVALIDITY,0,0
29,9.017,"""{'nXD': 'GRLq', 'F': 'WEIZEtBFX', 'uaPvZFfkNb999999999999999999999999': '??', 'yRJrff': '1537', 'Kpvl': ''}""",INVALIDITY,0,0
30,9.279,"""{'RcuLA': '949', 'KEiiYBidN': '??', /../'bKFQFpV': '1987', 'sIEj'1987', 'sIEj'1987', 'sIEj'1987', 'sIEj'1987', 'sIEj'19",INVALIDITY,0,0
31,9.540,"""x'JpQ{': True, 'VOqEt': True}""",INVALIDITY,0,0
32,9.804,"""{'HKQzCKQzCKQzCKQzC\\gzMQ': '1758'}""",INVALIDITY,0,0
33,9.804,"""{'xqhFFg': '0,10', 'ijbJ': False, 'RBj': '', 'NZZtn': '', 'QJZxYdd': True}}}\x00}}}}}}}""",RELIABILITY,1,-1
34,10.066,"""{'hHLK': '1227', 'e': '', 'XYDTyOHb': 'ojjjjjjjMZ'}""",INVALIDITY,0,0
35,10.329,"""{'luE': False, 'cWOEnczT': '10,8', 'CKyjGeF': '97', 'pvMmpdogDR': ['2', '10', '3'], 'iSNqdcw': '??'CKyjGeF': '97', 'pvM",INVALIDITY,0,0
36,10.590,"""{'u': '??'}'??'}'??'}'??'}'??'}""",INVALIDITY,0,0
37,11.117,"""{'DCpKnK': False, 'CfCcXAk': '??', 'AfPUWakMvi': '956', 'U: '956', 'U: '956', 'U: '956', 'U: '956', 'U: '956', 'U: '956",INVALIDITY,0,0
38,11.647,"'\r""""""""""""""""""""""'",INVALIDITY,0,0
39,11.916,"""{'sZci': '146'', 1W': True, 'VA': '', 'yZCEGjJ': '??'}""",INVALIDITY,0,0
40,12.443,"'{""emoji_escaped""aped""a""ped""aped""aped""aped"": ""\\uD83D\\uDE00""}'",INVALIDITY,0,0
41,12.732,"'{""a"": {""b"": {""c""'",INVALIDITY,0,0
42,13.021,"""{'\x03FuozEOGYz': True, 'gyCPFnEj': '432'}""",INVALIDITY,0,0
43,13.301,"""{'RcuLA': '949', 'KEiiYBidN': '??', 'bKFQFpV': '1987', 'sIEj': ['9', '6']}""",INVALIDITY,0,0
44,13.573,"""{'nPockY': '1465', 'FQwRGXjWxg': '1409'}""",INVALIDITY,0,0
45,14.128,"""{'qyj': 'AeRT', 'FSo': ['4', '8', '5', '2', '1'], 'ejsWVrmWKK': ['6', ': ['6', '6']}""",INVALIDITY,0,0
46,14.415,"""{'D CpKnK': False, 'CfCcXAk': '??', 'AfPUWakMvi': '956', 'UFbsCdaPpV': ['2', '1']}""",INVALIDITY,0,0
47,14.692,"""{'ytOK': 'DJ""",INVALIDITY,0,0
48,14.968,"""{'hHLcK': '1227', 'e': '', 'XYDTyOHb': 'ojMZ'}""",INVALIDITY,0,0
49,15.257,"""{'lnFZL': Fa\nlse, 'KoNjNHX': '4,6', 'kPjTelLzCV': '611', 'CJ': 'vkiWA', 'oRXltnRXA': 'lMuHofTMtx'}""",INVALIDITY,0,0
50,15.534,"""{'RcuLA': '949', 'KEiiYBidN': '??', 'bKFQFpV': '1987', 'sIEj': ['9', 'FpV': '1987', 'sIEj': ['9', 'FpV': '1987', 'sIEj'",INVALIDITY,0,0
51,15.805,"'{""int_max"": 99999999'",INVALIDITY,0,0
52,16.330,"""{'UQdy': Falsd, 'BHUkt': ['0', '7', '7'], 'ByyRpBF': ''}""",INVALIDITY,0,0
53,16.593,"'""line\\nbreak""""'",INVALIDITY,0,0
54,16.855,"""{'hHLK': '1227', 'e': '', 'XYDTyOHb':', 'XYDTyOHb': 'ojMZ'}""",INVALIDITY,0,0
55,16.857,"""{'xqhFFg': '0,10', 'ijbJ': False, 'RBj': '', 'NZZtn': '', 'QJZxYdd': True}}}\x00}}}}}}}""",RELIABILITY,0,-1
56,16.857,"""{'xqhFFg': '0,10', 'ijbJ': False, 'RBj': '', 'NZZtn': ''v, 'QJZxYdd': True}}}\x00}}}}}}}""",RELIABILITY,0,-1
57,17.120,"'{\'POXHSt\': [\'9\'"", \'4\'], \'KCN\': \'912\', \'ZUZ\': \'??\'}'",INVALIDITY,0,0
58,17.383,"'{""float"": e1.23e10}'",INVALIDITY,0,0
59,17.646,"'{""key"": ""value""[}'",INVALIDITY,0,0
60,17.909,"'{""a"": \x7f""b"": {""c"": 1}}}'",INVALIDITY,0,0
61,18.186,'',INVALIDITY,0,0
62,18.475,"'>""hellllllo""'",INVALIDITY,0,0
63,18.761,"'{""ke<y""key""key""key""key""key""key""key"": ""value""}'",INVALIDITY,0,0
64,19.055,"""{'ytOK': 'DJ',!'xNjP': '289', 'QArEMgbt': 'bSo', 'Cfh': '1400'}""",INVALIDITY,0,0
65,19.330,"""{'nXD': 'GRLq', 'F': 'WEIZEtBFX', 'uaPvZFfkNb': '??', 'yRJrff': '1537', 'Kpvl': '""",INVALIDITY,0,0
66,19.599,"""{'UQdy': False, 'BHUkt'6: ['0', '7', '7'], 'ByyRpBF': ''}""",INVALIDITY,0,0
67,20.124,"'{""zero_variant||s"": [0, - -0, 0.0, 0e0]}'",INVALIDITY,0,0
68,20.648,"""{'RcuLA': '949', 'KEiiYBidN': '??', 'bKFQFpV': '1987', 'sIEj': ['9', '6']}""",INVALIDITY,0,0
69,20.914,"""{'q': 'NpPaL}bIDP', 'SaONh': False, 'eDlJGC': True, 'KPvF': ''}""",INVALIDITY,0,0
70,21.185,"""{'ytOK': 'DJ', 'xNjP': '289', 'QArEMgbt': 'bSo', 'Cfh0: '14'0'}""",INVALIDITY,0,0
